shortcut	category	emojiCheatSheetFile	githubFile	unicodeChars	unicodeSampleFile	unicodeCldr	subcategory	aliasShortcuts	browserTypes
cook_islands	github	 	unicode/1f1e8-1f1f0.png?v8	U+1F1E8 U+1F1F0	1f1e8-1f1f0.png	 	custom	 	 
cookie	github	cookie.png	unicode/1f36a.png?v8	U+1F36A	1f36a.png	 	custom	 	 
cool	github	cool.png	unicode/1f192.png?v8	U+1F192	1f192.png	 	custom	 	 
cop	github	cop.png	unicode/1f46e.png?v8	U+1F46E	1f46e.png	 	custom	police_officer	 
copyright	github	copyright.png	unicode/00a9.png?v8	U+00A9	00a9.png	 	custom	 	 
corn	github	corn.png	unicode/1f33d.png?v8	U+1F33D	1f33d.png	 	custom	 	 
costa_rica	github	 	unicode/1f1e8-1f1f7.png?v8	U+1F1E8 U+1F1F7	1f1e8-1f1f7.png	 	custom	 	 
cote_divoire	github	 	unicode/1f1e8-1f1ee.png?v8	U+1F1E8 U+1F1EE	1f1e8-1f1ee.png	 	custom	 	 
couch_and_lamp	github	 	unicode/1f6cb.png?v8	U+1F6CB	1f6cb.png	 	custom	 	 
couple	github	couple.png	unicode/1f46b.png?v8	U+1F46B	1f46b.png	 	custom	 	 
couple_with_heart	github	couple_with_heart.png	unicode/1f491.png?v8	U+1F491	1f491.png	 	custom	 	 
couple_with_heart_man_man	github	 	unicode/1f468-2764-1f468.png?v8	U+1F468 U+2764 U+1F468	1f468-2764-1f468.png	 	custom	 	 
couple_with_heart_woman_man	github	 	unicode/1f469-2764-1f468.png?v8	U+1F469 U+2764 U+1F468	1f469-2764-1f468.png	 	custom	 	 
couple_with_heart_woman_woman	github	 	unicode/1f469-2764-1f469.png?v8	U+1F469 U+2764 U+1F469	1f469-2764-1f469.png	 	custom	 	 
couplekiss	github	couplekiss.png	unicode/1f48f.png?v8	U+1F48F	1f48f.png	 	custom	 	 
couplekiss_man_man	github	 	unicode/1f468-2764-1f48b-1f468.png?v8	U+1F468 U+2764 U+1F48B U+1F468	1f468-2764-1f48b-1f468.png	 	custom	 	 
couplekiss_man_woman	github	 	unicode/1f469-2764-1f48b-1f468.png?v8	U+1F469 U+2764 U+1F48B U+1F468	1f469-2764-1f48b-1f468.png	 	custom	 	 
couplekiss_woman_woman	github	 	unicode/1f469-2764-1f48b-1f469.png?v8	U+1F469 U+2764 U+1F48B U+1F469	1f469-2764-1f48b-1f469.png	 	custom	 	 
cow	github	cow.png	unicode/1f42e.png?v8	U+1F42E	1f42e.png	 	custom	 	 
cow2	github	cow2.png	unicode/1f404.png?v8	U+1F404	1f404.png	 	custom	 	 
cowboy_hat_face	github	 	unicode/1f920.png?v8	U+1F920	1f920.png	 	custom	 	 
crab	github	 	unicode/1f980.png?v8	U+1F980	1f980.png	 	custom	 	 
crayon	github	 	unicode/1f58d.png?v8	U+1F58D	1f58d.png	 	custom	 	 
credit_card	github	credit_card.png	unicode/1f4b3.png?v8	U+1F4B3	1f4b3.png	 	custom	 	 
crescent_moon	github	crescent_moon.png	unicode/1f319.png?v8	U+1F319	1f319.png	 	custom	 	 
cricket	github	 	unicode/1f997.png?v8	U+1F997	1f997.png	 	custom	 	 
cricket_game	github	 	unicode/1f3cf.png?v8	U+1F3CF	1f3cf.png	 	custom	 	 
croatia	github	 	unicode/1f1ed-1f1f7.png?v8	U+1F1ED U+1F1F7	1f1ed-1f1f7.png	 	custom	 	 
crocodile	github	crocodile.png	unicode/1f40a.png?v8	U+1F40A	1f40a.png	 	custom	 	 
croissant	github	 	unicode/1f950.png?v8	U+1F950	1f950.png	 	custom	 	 
crossed_fingers	github	 	unicode/1f91e.png?v8	U+1F91E	1f91e.png	 	custom	 	 
crossed_flags	github	crossed_flags.png	unicode/1f38c.png?v8	U+1F38C	1f38c.png	 	custom	 	 
crossed_swords	github	 	unicode/2694.png?v8	U+2694	2694.png	 	custom	 	 
crown	github	crown.png	unicode/1f451.png?v8	U+1F451	1f451.png	 	custom	 	 
cry	github	cry.png	unicode/1f622.png?v8	U+1F622	1f622.png	 	custom	 	 
crying_cat_face	github	crying_cat_face.png	unicode/1f63f.png?v8	U+1F63F	1f63f.png	 	custom	 	 
crystal_ball	github	crystal_ball.png	unicode/1f52e.png?v8	U+1F52E	1f52e.png	 	custom	 	 
cuba	github	 	unicode/1f1e8-1f1fa.png?v8	U+1F1E8 U+1F1FA	1f1e8-1f1fa.png	 	custom	 	 
cucumber	github	 	unicode/1f952.png?v8	U+1F952	1f952.png	 	custom	 	 
cup_with_straw	github	 	unicode/1f964.png?v8	U+1F964	1f964.png	 	custom	 	 
cupcake	github	 	unicode/1f9c1.png?v8	U+1F9C1	1f9c1.png	 	custom	 	 
cupid	github	cupid.png	unicode/1f498.png?v8	U+1F498	1f498.png	 	custom	 	 
curacao	github	 	unicode/1f1e8-1f1fc.png?v8	U+1F1E8 U+1F1FC	1f1e8-1f1fc.png	 	custom	 	 
curling_stone	github	 	unicode/1f94c.png?v8	U+1F94C	1f94c.png	 	custom	 	 
curly_haired_man	github	 	unicode/1f468-1f9b1.png?v8	U+1F468 U+1F9B1	1f468-1f9b1.png	 	custom	 	 
curly_haired_woman	github	 	unicode/1f469-1f9b1.png?v8	U+1F469 U+1F9B1	1f469-1f9b1.png	 	custom	 	 
curly_loop	github	curly_loop.png	unicode/27b0.png?v8	U+27B0	27b0.png	 	custom	 	 
currency_exchange	github	currency_exchange.png	unicode/1f4b1.png?v8	U+1F4B1	1f4b1.png	 	custom	 	 
curry	github	curry.png	unicode/1f35b.png?v8	U+1F35B	1f35b.png	 	custom	 	 
cursing_face	github	 	unicode/1f92c.png?v8	U+1F92C	1f92c.png	 	custom	 	 
custard	github	custard.png	unicode/1f36e.png?v8	U+1F36E	1f36e.png	 	custom	 	 
customs	github	customs.png	unicode/1f6c3.png?v8	U+1F6C3	1f6c3.png	 	custom	 	 
cut_of_meat	github	 	unicode/1f969.png?v8	U+1F969	1f969.png	 	custom	 	 
cyclone	github	cyclone.png	unicode/1f300.png?v8	U+1F300	1f300.png	 	custom	 	 
cyprus	github	 	unicode/1f1e8-1f1fe.png?v8	U+1F1E8 U+1F1FE	1f1e8-1f1fe.png	 	custom	 	 
czech_republic	github	 	unicode/1f1e8-1f1ff.png?v8	U+1F1E8 U+1F1FF	1f1e8-1f1ff.png	 	custom	 	 
dagger	github	 	unicode/1f5e1.png?v8	U+1F5E1	1f5e1.png	 	custom	 	 
dancer	github	dancer.png	unicode/1f483.png?v8	U+1F483	1f483.png	 	custom	woman_dancing	 
dancers	github	dancers.png	unicode/1f46f.png?v8	U+1F46F	1f46f.png	 	custom	 	 
dancing_men	github	 	unicode/1f46f-2642.png?v8	U+1F46F U+2642	1f46f-2642.png	 	custom	 	 
dancing_women	github	 	unicode/1f46f-2640.png?v8	U+1F46F U+2640	1f46f-2640.png	 	custom	 	 
dango	github	dango.png	unicode/1f361.png?v8	U+1F361	1f361.png	 	custom	 	 
dark_sunglasses	github	 	unicode/1f576.png?v8	U+1F576	1f576.png	 	custom	 	 
dart	github	dart.png	unicode/1f3af.png?v8	U+1F3AF	1f3af.png	 	custom	 	 
dash	github	dash.png	unicode/1f4a8.png?v8	U+1F4A8	1f4a8.png	 	custom	 	 
date	github	date.png	unicode/1f4c5.png?v8	U+1F4C5	1f4c5.png	 	custom	 	 
de	github	de.png	unicode/1f1e9-1f1ea.png?v8	U+1F1E9 U+1F1EA	1f1e9-1f1ea.png	 	custom	 	 
deaf_man	github	 	unicode/1f9cf-2642.png?v8	U+1F9CF U+2642	1f9cf-2642.png	 	custom	 	 
deaf_person	github	 	unicode/1f9cf.png?v8	U+1F9CF	1f9cf.png	 	custom	 	 
deaf_woman	github	 	unicode/1f9cf-2640.png?v8	U+1F9CF U+2640	1f9cf-2640.png	 	custom	 	 
deciduous_tree	github	deciduous_tree.png	unicode/1f333.png?v8	U+1F333	1f333.png	 	custom	 	 
deer	github	 	unicode/1f98c.png?v8	U+1F98C	1f98c.png	 	custom	 	 
